#LS: left scutum
#RS: right scutum
#LT: reft tergum
#RT: right tergum 
Number,HILC_LS,HILC_RS,HILC_LT,HILC_RT,HIHH_LS,HIHH_RS,HIHH_LT,HIHH_RT,FILC_LS,FILC_RS,FILC_LT,FILC_RT,FIHH_LS,FIHH_RS,FIHH_LT,FIHH_RT,RIHS_LS,RIHS_RS,RIHS_LT,RIHS_RT,RILN_LS,RILN_RS,RILN_LT,RILN_RT
1,0.052,0.053,0.046,0.044,0.034,0.034,0.024,0.023,0.085,0.082,0.063,0.068,0.041,0.037,0.031,0.032,0.029,0.031,0.019,0.019,0.043,0.04,0.033,NULL
2,0.042,0.039,0.038,0.034,NULL,NULL,NULL,NULL,0.074,0.07,0.059,0.059,0.038,0.04,0.024,0.024,0.033,0.033,0.023,0.022,0.056,0.05,0.051,0.05
3,0.049,0.05,0.039,0.039,NULL,NULL,NULL,NULL,0.064,0.064,0.054,0.052,0.06,0.053,0.045,0.048,0.037,0.035,0.026,0.025,0.03,0.025,0.022,0.019
4,0.049,0.049,0.042,0.048,0.025,0.026,NULL,0.016,0.065,0.055,0.055,0.051,0.027,0.024,0.019,0.018,0.032,0.034,0.022,0.021,0.047,0.047,0.036,0.037
5,0.059,0.058,0.052,0.053,NULL,NULL,NULL,NULL,0.064,0.057,0.046,0.041,0.046,0.038,0.031,0.03,0.031,0.03,0.02,0.021,NULL,0.05,NULL,0.034
6,0.04,0.035,0.028,0.028,0.032,0.033,0.02,0.02,0.073,0.065,0.052,0.048,0.033,0.033,0.024,0.024,0.042,0.038,0.028,0.027,0.05,0.053,0.039,0.033
7,0.054,0.051,0.048,0.05,NULL,NULL,NULL,NULL,0.057,0.055,0.059,0.054,0.052,0.048,0.037,0.037,0.043,0.038,0.026,0.026,NULL,NULL,0.026,0.027
8,0.066,0.066,0.05,0.051,0.026,0.028,0.018,0.016,0.057,0.054,0.043,0.043,0.042,0.037,0.033,0.03,0.03,0.028,0.02,0.019,0.025,NULL,0.017,0.02
9,0.057,0.05,0.046,0.046,NULL,NULL,NULL,NULL,0.049,0.051,0.043,0.042,0.035,0.032,0.024,0.024,0.036,0.034,0.022,NULL,0.043,0.035,0.036,0.033
10,0.043,0.04,0.036,0.033,0.021,0.019,NULL,NULL,0.04,0.042,NULL,0.034,0.027,0.024,0.018,0.018,0.04,0.036,0.025,0.025,0.048,0.052,0.038,0.043
11,NULL,NULL,NULL,NULL,0.021,0.019,0.013,0.014,0.072,0.072,0.065,0.066,0.04,0.036,0.029,0.027,0.019,0.016,0.012,0.012,0.068,0.064,0.048,0.053
12,0.046,0.044,0.039,0.04,0.04,0.04,0.026,NULL,0.069,0.063,0.057,0.054,0.036,0.035,0.024,0.023,0.017,0.018,0.011,0.013,0.047,0.043,0.038,0.036
13,0.053,0.047,0.052,0.056,0.037,0.033,NULL,NULL,0.08,0.078,0.062,0.057,0.044,0.04,0.03,0.029,NULL,0.042,0.026,0.025,0.034,0.03,0.024,0.023
14,0.044,0.047,0.035,0.036,0.038,0.032,0.026,0.025,NULL,NULL,NULL,NULL,0.065,0.054,0.051,0.052,0.02,0.021,0.014,0.015,0.061,0.065,0.053,0.051
15,0.058,0.05,0.055,0.052,0.029,0.029,0.021,0.023,0.053,0.047,0.037,0.037,0.045,0.042,0.032,0.03,0.038,0.036,0.028,0.027,0.034,0.035,0.027,0.031
16,0.055,0.055,0.04,0.04,0.038,0.034,0.026,0.026,0.062,0.065,0.055,0.056,0.045,0.038,0.031,0.03,0.028,0.028,0.019,0.02,0.036,0.034,0.027,0.026
