Date/Time	T_RIC.LN	T_RIC.HSE
7/11/18 12:33	23	26.619
7/11/18 13:03	23	28.119
7/11/18 13:33	22.5	29.618
7/11/18 14:03	23	29.118
7/11/18 14:33	23.5	30.118
7/11/18 15:03	24.5	29.618
7/11/18 15:33	24.5	29.118
7/11/18 16:03	23.5	25.619
7/11/18 16:33	23	23.119
7/11/18 17:03	23	22.619
7/11/18 17:33	22.5	22.619
7/11/18 18:03	22	22.619
7/11/18 18:33	22	22.119
7/11/18 19:03	20.5	21.119
7/11/18 19:33	20.5	20.618
7/11/18 20:03	20	20.118
7/11/18 20:33	20	20.618
7/11/18 21:03	20	19.618
7/11/18 21:33	20	19.618
7/11/18 22:03	19.5	19.618
7/11/18 22:33	19.5	19.618
7/11/18 23:03	19.5	19.618
7/11/18 23:33	18.5	19.118
7/12/18 0:03	18	19.118
7/12/18 0:33	18	19.118
7/12/18 1:03	17.5	18.617
7/12/18 1:33	17.5	18.617
7/12/18 2:03	17.5	18.117
7/12/18 2:33	17	18.117
7/12/18 3:03	17	17.617
7/12/18 3:33	17	17.617
7/12/18 4:03	17.5	17.617
7/12/18 4:33	19	17.116
7/12/18 5:03	19	17.116
7/12/18 5:33	19.5	17.617
7/12/18 6:03	19.5	20.118
7/12/18 6:33	20	20.118
7/12/18 7:03	20	20.118
7/12/18 7:33	20	20.118
7/12/18 8:03	20	20.118
7/12/18 8:33	19.5	20.118
7/12/18 9:03	20	19.618
7/12/18 9:33	20	20.618
7/12/18 10:03	20.5	23.119
7/12/18 10:33	20.5	25.619
7/12/18 11:03	20.5	27.619
7/12/18 11:33	19.5	28.119
7/12/18 12:03	20.5	29.118
7/12/18 12:33	21.5	30.118
7/12/18 13:03	22	29.618
7/12/18 13:33	23	28.618
7/12/18 14:03	23	27.619
7/12/18 14:33	23	27.119
7/12/18 15:03	23.5	27.619
7/12/18 15:33	23.5	26.619
7/12/18 16:03	26	26.119
7/12/18 16:33	25	26.119
7/12/18 17:03	23.5	24.119
7/12/18 17:33	23	25.119
7/12/18 18:03	22.5	24.119
7/12/18 18:33	22	23.119
7/12/18 19:03	20.5	22.619
7/12/18 19:33	20.5	22.119
7/12/18 20:03	20	20.618
7/12/18 20:33	20	20.118
7/12/18 21:03	19.5	20.118
7/12/18 21:33	19.5	20.118
7/12/18 22:03	20	20.118
7/12/18 22:33	19.5	19.618
7/12/18 23:03	19.5	19.618
7/12/18 23:33	19.5	19.618
7/13/18 0:03	19	19.118
7/13/18 0:33	18	19.118
7/13/18 1:03	18	19.118
7/13/18 1:33	18	18.617
7/13/18 2:03	17.5	18.617
7/13/18 2:33	17.5	18.617
7/13/18 3:03	17.5	18.617
7/13/18 3:33	17.5	18.117
7/13/18 4:03	17.5	18.117
7/13/18 4:33	17.5	18.117
7/13/18 5:03	17.5	18.117
7/13/18 5:33	19.5	18.617
7/13/18 6:03	20	18.617
7/13/18 6:33	20	20.118
7/13/18 7:03	20.5	20.618
7/13/18 7:33	20.5	20.618
7/13/18 8:03	20.5	21.119
7/13/18 8:33	20.5	21.119
7/13/18 9:03	20.5	20.118
7/13/18 9:33	19	19.618
7/13/18 10:03	19	20.618
7/13/18 10:33	19.5	21.619
7/13/18 11:03	20	22.619
7/13/18 11:33	20.5	25.119
7/13/18 12:03	20.5	25.619
7/13/18 12:33	20.5	25.619
7/13/18 13:03	21.5	25.619
7/13/18 13:33	21.5	25.619
7/13/18 14:41	22.5	25.119
7/13/18 15:11	22.5	24.619
7/13/18 15:41	22	24.619
7/13/18 16:11	22	24.119
7/13/18 16:41	22.5	24.119
7/13/18 17:11	25.5	23.619
7/13/18 17:41	24.5	23.619
7/13/18 18:11	23.5	22.119
7/13/18 18:41	23	24.119
7/13/18 19:11	22.5	23.619
7/13/18 19:41	22	23.119
7/13/18 20:11	22	22.619
7/13/18 20:41	20.5	22.119
7/13/18 21:11	20	22.119
7/13/18 21:41	19.5	20.618
7/13/18 22:11	19.5	19.618
7/13/18 22:41	19	19.618
7/13/18 23:11	19	19.618
7/13/18 23:41	19	19.118
7/14/18 0:11	19	19.118
7/14/18 0:41	19	19.118
7/14/18 1:11	18	19.118
7/14/18 1:41	18.5	19.118
7/14/18 2:11	18.5	19.118
7/14/18 2:41	18	19.118
7/14/18 3:11	18	19.118
7/14/18 3:41	18	18.617
7/14/18 4:11	17.5	18.617
7/14/18 4:41	17.5	18.117
7/14/18 5:11	17.5	18.617
7/14/18 5:41	18	18.617
7/14/18 6:11	18.5	19.118
7/14/18 6:41	19.5	19.118
7/14/18 7:11	19.5	19.118
7/14/18 7:41	20	20.118
7/14/18 8:11	20.5	20.618
7/14/18 8:41	20.5	20.618
7/14/18 9:11	20.5	21.119
7/14/18 9:41	20.5	21.119
7/14/18 10:11	20	21.119
7/14/18 10:41	20	20.618
7/14/18 11:11	20	21.619
7/14/18 11:41	20.5	21.119
7/14/18 12:11	20.5	22.619
7/14/18 12:41	21.5	23.619
7/14/18 13:11	20.5	23.619
7/14/18 13:41	22	24.119
7/14/18 14:11	22	23.619
7/14/18 14:41	23	24.619
7/14/18 15:11	22.5	24.619
7/14/18 15:41	23	24.119
7/14/18 16:11	22.5	24.119
7/14/18 16:41	22.5	23.619
7/14/18 17:11	23	24.119
7/14/18 17:41	23.5	23.619
7/14/18 18:11	23.5	23.119
7/14/18 18:41	22.5	22.619
7/14/18 19:11	22	21.619
7/14/18 19:41	21.5	22.619
7/14/18 20:11	21	22.119
7/14/18 20:41	21.5	21.619
7/14/18 21:11	20	21.619
7/14/18 21:41	19.5	21.119
7/14/18 22:11	19.5	20.618
7/14/18 22:41	19.5	20.118
7/14/18 23:11	19.5	19.618
7/14/18 23:41	19	19.618
7/15/18 0:11	19	19.618
7/15/18 0:41	19	19.618
7/15/18 1:11	19	20.118
7/15/18 1:41	19	20.118
7/15/18 2:11	19.5	20.118
7/15/18 2:41	19.5	20.118
7/15/18 3:11	19.5	20.618
7/15/18 3:41	19.5	20.118
7/15/18 4:11	19.5	20.118
7/15/18 4:41	19.5	20.618
7/15/18 5:11	19.5	20.118
7/15/18 5:41	19.5	20.118
7/15/18 6:11	19.5	20.118
7/15/18 6:41	19.5	20.618
7/15/18 7:11	19.5	21.119
7/15/18 7:41	20	21.119
7/15/18 8:11	20	21.619
7/15/18 8:41	20	20.618
7/15/18 9:11	20.5	20.618
7/15/18 9:41	20.5	20.618
7/15/18 10:11	20.5	20.618
7/15/18 10:41	20	20.618
7/15/18 11:11	20	21.619
7/15/18 11:41	20	21.119
7/15/18 12:11	20	21.119
7/15/18 12:41	20.5	22.119
7/15/18 13:11	21	22.619
7/15/18 13:41	21	24.619
7/15/18 14:11	22	25.119
7/15/18 14:41	23.5	25.119
7/15/18 15:11	23	24.619
7/15/18 15:41	22	23.119
7/15/18 16:11	23.5	25.119
7/15/18 16:41	24	25.619
7/15/18 17:11	23.5	25.619
7/15/18 17:41	23.5	25.119
7/15/18 18:11	23	25.119
7/15/18 18:41	22.5	24.119
7/15/18 19:11	22	23.619
7/15/18 19:41	21.5	22.619
7/15/18 20:11	21.5	22.119
7/15/18 20:41	21.5	21.619
7/15/18 21:11	21	21.619
7/15/18 21:41	21	21.619
